Time,Velocity_L,Velocity_R
5.260741472,0,7.845143795
5.280885935,0,7.114849091
5.301067352,0,6.624668121
5.320452213,0,6.264358521
5.341082334,0,7.330602169
5.362103462,0,7.984196186
5.381035566,0,7.244386196
5.40158534,0,6.284126282
5.420904875,0,6.82360363
5.441412449,0,7.992020607
5.460891008,0,7.301278114
5.481181383,0,6.40016222
5.500702143,0,6.742715836
5.521155357,0,7.652163982
5.541555881,0,8.055264473
5.56069088,0,6.852375984
5.581390619,0,6.340709209
5.602130413,0,7.122168064
5.62132287,0,8.01495266
5.64099741,0,7.459146976
5.661456823,0,6.281786442
5.681252718,0,6.606846333
5.702850103,0,7.902526379
5.720640898,0,7.884906769
5.741638183,0,7.455536366
5.760861158,0,6.27983427
5.780739069,0,7.025753021
5.801753282,0,7.8968153
5.82080102,0,6.977831364
5.840558767,0,6.531064034
5.861041546,0,7.86248827
5.881430626,0,7.603147984
5.900583744,0,6.235706806
5.926969766,0,6.467106819
5.940785408,0,7.376451492
5.961567402,0,7.799314499
5.980828285,0,7.639851093
6.001265526,0,6.279624462
6.022161007,0,6.860808849
6.041684866,0,8.043678284
6.060803175,0,7.635997295
6.08072567,0,6.302762032
6.100855589,0,6.855799675
6.121263027,0,8.040557861
6.140596866,0,7.770435333
6.161131382,0,6.324268341
6.181028843,0,6.718522072
6.201050043,0,7.689568043
6.221271276,0,7.809587479
6.240814209,0,6.807152748
6.260803938,0,6.345016003
6.28178978,0,7.156106949
6.30133152,0,8.024927139
6.321267843,0,7.327340126
6.340549946,0,6.365242958
6.360584259,0,6.699903965
6.380676746,0,7.922436714
6.400526523,0,7.371130943
6.421391249,0,6.226337433
6.441339969,0,6.67590189
6.462122917,0,7.936715603
6.481255054,0,7.400853157
6.501461029,0,6.443514347
6.52107954,0,6.619100571
6.540933132,0,7.964362621
6.560575247,0,7.438838959
6.58272028,0,6.442345619
6.600844383,0,6.542907238
6.621070623,0,7.51332283
6.640972137,0,7.977110863
6.660935402,0,7.031794548
6.680841207,0,6.221058846
6.701167583,0,6.88045311
6.720871687,0,8.073143005
6.741607666,0,7.071569443
6.762061357,0,6.207578182
6.781063318,0,6.841364861
6.801168203,0,7.801981449
6.820943594,0,7.66095686
6.84126544,0,6.263935089
6.861038923,0,6.777220726
6.880576372,0,7.75322485
6.901394367,0,7.746145248
6.920707941,0,6.740939617
6.940853357,0,6.33436203
6.961233377,0,6.724808693
6.981352091,0,7.693350792
7.001001596,0,7.782211781
7.020737886,0,6.423814297
7.040882826,0,6.735561371
7.060859442,0,7.646629333
7.08134532,0,7.392931461
7.100622654,0,6.248910904
7.120855093,0,7.598067284
7.140895843,0,8.06934166
7.160857916,0,6.927837372
7.180650234,0,6.259905338
7.200749636,0,6.985433102
7.221431732,0,8.057647705
7.24063468,0,7.04086113
7.26136899,0,6.256125927
7.280809641,0,7.42346096
7.30110693,0,7.972828388
7.320987701,0,6.515709877
7.340505123,0,6.18944788
7.361126661,0,7.357819557
7.380965471,0,8.062009811
7.401945114,0,6.623775959
7.421062231,0,6.132422447
7.440884828,0,7.225878716
7.460832596,0,8.022182465
7.481324673,0,7.334042072
7.50207138,0,6.341024876
7.520753383,0,6.676736832
7.540752172,0,7.603727341
7.561235905,0,8.048811913
7.580530882,0,6.968660831
7.602516651,0,6.256301403
7.621324301,0,6.988303185
7.640667438,0,8.05228138
7.66043973,0,6.509914875
7.68093133,0,6.490102768
7.701486111,0,7.393326283
7.721885204,0,8.086255074
7.740782976,0,7.642867565
7.76130104,0,6.235619545
7.78054142,0,6.833456516
7.801644802,0,7.743932247
7.821077108,0,7.761044025
7.841746569,0,6.347292423
7.860728741,0,6.35748291
7.880602598,0,7.220601559
7.906154632,0,8.042347908
7.920711279,0,7.396722794
7.941086769,0,6.197357178
7.961222648,0,6.653260231
7.981475353,0,7.922348499
8.001357555,0,7.473369122
8.021107197,0,6.492758751
8.041307926,0,6.280134201
8.060903787,0,7.479837418
8.081123352,0,8.06694603
8.102013588,0,7.521723747
8.120991468,0,6.238524437
8.141879558,0,6.522692204
8.162204027,0,8.049136162
8.181206703,0,7.669523239
8.205120325,0,6.269232273
8.221602201,0,6.413369656
8.241251707,0,7.585172653
8.260822534,0,7.344002247
8.281049251,0,6.433714867
8.300762415,0,7.211943626
8.320900678,0,7.887545586
8.341408014,0,7.316911697
8.361615419,0,6.433970451
8.38210535,0,7.190504074
8.401000976,0,7.832328796
8.421155691,0,7.406477451
8.440733433,0,6.414304733
8.461484909,0,6.705109596
8.480752706,0,7.572105408
8.500693321,0,7.797840595
8.522220135,0,6.574130058
8.541450023,0,6.693125725
8.561678171,0,7.537178516
8.584976435,0,8.000619888
8.601039648,0,7.476354122
8.621135235,0,6.306589127
8.640955448,0,6.596990585
8.661014795,0,7.827716827
8.680713415,0,7.536797047
8.706797123,0,7.042758465
8.724123478,0,6.293541908
8.748121738,0,6.916110039
8.764172554,0,7.774090767
8.782241821,0,7.954722881
8.800706386,0,6.701339722
8.820826053,0,6.474872589
8.840547323,0,7.64080143
8.860591888,0,7.200178146
8.887463808,0,6.339108467
8.900744438,0,6.858377934
8.920905113,0,7.959455967
8.940609217,0,6.371854782
8.960518837,0,7.182179451
8.981214523,0,7.856863499
9.001847744,0,7.412296772
9.02121377,0,6.530335426
9.04291892,0,6.665848732
9.061599016,0,7.909396172
9.081323385,0,7.863938332
9.10551238,0,6.953853607
9.1214149,0,6.233003616
9.141030073,0,7.027434826
9.162009001,0,8.027522087
9.181933164,0,7.466752529
9.201937437,0,6.259085655
9.228250742,0,6.566561699
9.241002798,0,7.443584919
9.261666536,0,7.941424847
9.281900644,0,6.624037743
9.301806927,0,6.264331818
9.320987224,0,7.354326248
9.340709686,0,8.031323433
9.361924648,0,7.091262817
9.38152647,0,6.250757217
9.401287556,0,6.842591286
9.420930624,0,7.804210663
9.446122885,0,7.684799194
9.460990906,0,6.617984772
9.481796503,0,6.128922462
9.500945091,0,7.22339344
9.521466732,0,8.061689377
9.54142046,0,6.810542583
9.561458587,0,6.368374825
9.580878496,0,7.17314291
9.600688696,0,7.824322224
9.62105608,0,6.441415787
9.640946627,0,7.088018894
9.660869837,0,8.066820145
9.680675745,0,6.434056282
9.700774908,0,6.266898632
9.722298384,0,7.869234085
9.74130106,0,7.910110474
9.76125741,0,6.499629021
9.780900717,0,6.556201935
9.801301002,0,7.878801346
9.821017742,0,7.9477005
9.841114044,0,6.577149391
9.86111474,0,6.235368252
9.880647659,0,7.355741978
9.901479721,0,7.986618519
9.921844721,0,6.577064514
9.940873384,0,6.205306053
9.961122751,0,7.346329689
9.980878115,0,8.001524925
10.00200629,0,7.103512764
10.0207715,0,6.2124753
10.04135919,0,6.849535465
10.0614326,0,8.035981178
10.08092141,0,7.737569332
10.10079312,0,6.357735157
10.1209681,0,6.761054039
10.14148641,0,7.96108532
10.16123152,0,7.794816017
10.18191028,0,6.406227112
10.20207858,0,6.377346992
10.22076631,0,7.63285017
10.24156094,0,8.014785767
10.26159215,0,6.849351883
10.28100252,0,6.239192009
10.30089307,0,7.151592731
10.32160592,0,8.022555351
10.34071207,0,7.358383179
10.36192369,0,6.25588131
10.38104105,0,7.18304491
10.40138125,0,7.935682297
10.42137861,0,7.408198833
10.44195366,0,6.473268509
10.46101546,0,6.684208393
10.48147798,0,7.920461178
10.50118351,0,7.843391418
10.52068162,0,6.914210796
10.54093146,0,6.304634094
10.57113838,0,7.047448635
10.58135843,0,7.920567513
10.6011188,0,7.518657207
10.62139964,0,6.229159355
10.64116764,0,7.435469627
10.66146374,0,8.062777519
10.68138957,0,7.11107254
10.70099568,0,6.216462135
10.72117305,0,6.852849007
10.74135423,0,7.755465508
10.76082492,0,7.686627865
10.78063822,0,6.643703938
10.80130196,0,6.391907215
10.8210938,0,7.707799911
10.84138918,0,7.702732563
10.86163306,0,6.261043549
10.8807714,0,6.353867054
10.90096092,0,7.685404301
10.92612934,0,8.024524689
10.94080257,0,7.331058979
10.96047187,0,6.324465752
10.98093033,0,7.621919155
11.00112104,0,7.820983887
11.02093911,0,6.468240261
11.04070425,0,6.65493679
11.06126571,0,7.932499409
11.08064222,0,7.880788326
11.10171318,0,6.202991486
11.12096834,0,6.603838921
11.1414659,0,7.908122063
11.16099048,0,7.503608227
11.18216562,0,6.235056877
11.20136023,0,6.954125881
11.22156096,0,7.85534668
11.2407043,0,7.627728939
11.26169348,0,6.272017956
11.28070378,0,6.856989384
11.30162215,0,7.758485317
11.3208549,0,7.975740433
11.34135222,0,6.482809067
11.3608222,0,6.420732498
11.38220787,0,7.801892281
11.40942168,0,8.077594757
11.42091918,0,7.714740276
11.44216466,0,6.360034943
11.46162033,0,7.6890769
11.48104453,0,8.00901413
11.50263429,0,7.226557255
11.52138305,0,6.320427895
11.54520154,0,6.36730957
11.56102109,0,7.693674564
11.58141565,0,8.028043747
11.60083532,0,6.294514179
11.62044406,0,6.324422359
11.64154363,0,7.647614479
11.66082358,0,7.351895809
11.68074489,0,6.197910309
11.70069647,0,7.605763435
11.72083902,0,7.445883751
11.74083924,0,6.501014233
11.76333618,0,6.628573418
11.78164983,0,7.916301727
11.80185676,0,8.030816078
11.82097745,0,6.957260132
11.84520817,0,6.270769596
11.86115956,0,7.474712372
11.88102269,0,7.925408363
11.90098858,0,6.998684406
11.92068028,0,6.236825943
11.94199324,0,6.908205032
11.9626267,0,7.980080605
11.98095346,0,7.116745949
12.00061226,0,6.438148499
12.02049255,0,8.031027794
12.04088688,0,7.68229866
12.06150818,0,6.2314744
12.08136249,0,6.810533524
12.10135245,0,8.058553696
12.12135434,0,7.668846607
12.14065266,0,6.607336044
12.1607554,0,6.369740009
12.18063545,0,7.748578072
12.20120621,0,7.763891697
12.22063041,0,6.724511147
12.24116755,0,6.343474388
12.26074648,0,7.686504364
12.28080726,0,8.053646088
12.30352783,0,7.352814674
12.32065558,0,6.324226856
12.34104967,0,7.62940979
12.36144424,0,7.387559414
12.38117886,0,7.387559414
12.40095282,0,6.220483303
12.42080998,0,7.10870266
12.44194698,0,8.025086403
12.46146107,0,7.413535118
12.48135233,0,6.228885651
12.50071859,0,6.592433453
12.52090144,0,7.548232555
12.54077196,0,7.923572063
12.56107879,0,6.524622917
12.58219886,0,6.972763062
12.60149717,0,7.8689394
12.62079001,0,7.941140652
12.64073586,0,6.556500435
12.66162753,0,6.485898495
12.68188882,0,7.417056561
12.70356751,0,7.590196133
12.72169733,0,6.573474884
12.74253511,0,6.230838776
12.7607801,0,6.862217426
12.78123927,0,7.790553093
12.80186105,0,7.715493202
12.82119274,0,6.297864437
12.84282637,0,6.768000603
12.86429143,0,8.012487411
12.88059878,0,7.749660015
12.90070438,0,6.31127882
12.92438269,0,6.740058422
12.9405961,0,7.967795372
12.96121526,0,7.354318619
12.98292708,0,6.223783493
13.0008595,0,7.586211205
13.0207026,0,7.400774956
13.04246855,0,6.868432999
13.06241298,0,6.443196297
13.08135605,0,6.665261269
13.10097623,0,7.571004391
13.1244626,0,7.917390823
13.15926075,0,7.51198101
13.16157079,0,7.51198101
13.18098831,0,6.466899872
13.20482087,0,6.260898113
13.24235654,0,6.260898113
13.24291468,0,6.260898113
13.26075625,0,7.469105721
13.28150415,0,8.057691574
13.30605793,0,8.057691574
13.32114363,0,6.995047569
13.34324575,0,6.234088421
13.36051393,0,6.248049259
13.38688469,0,7.440668106
13.40078521,0,8.065405846
13.42105436,0,7.016560555
13.4417944,0,6.512228966
13.461478,0,6.902662277
13.48065949,0,7.817412376
13.50051641,0,7.163176537
13.52097344,0,6.389362335
13.54052115,0,7.595829964
13.56062579,0,7.662511349
13.58219028,0,6.597537518
13.60442281,0,6.827791214
13.62094975,0,7.576784611
13.64123297,0,7.727044106
13.66205215,0,6.629429817
13.68083882,0,6.455683231
13.7010715,0,7.13263607
13.72546363,0,7.973974705
13.74063873,0,7.82033062
13.76113677,0,7.458134174
13.78099585,0,7.458134174
13.80140328,0,7.458134174
13.82181644,0,7.458134174
13.84275007,0,7.458134174
13.87685871,0,7.458134174
13.88063359,0,7.458134174
13.90429401,0,7.458134174
13.9209609,0,7.458134174
13.9407661,0,7.458134174
13.96101403,0,7.458134174
13.98069692,0,7.458134174
14.00108647,0,7.458134174
14.02066445,0,7.458134174
14.04055119,0,7.458134174
14.06204987,0,7.458134174
14.08177662,0,7.458134174
14.10093045,0,7.458134174
14.1310339,0,7.458134174
14.14044976,0,7.458134174
14.2072351,0,7.458134174
14.20735478,0,7.458134174
14.20745254,0,7.458134174
14.22945666,0,7.458134174
14.24246645,0,7.458134174
14.26054096,0,7.458134174
14.28058863,0,7.458134174
14.30084324,0,7.458134174
14.32319164,0,7.458134174
