Time,Velocity_L,Velocity_R
3.080627442,7.510115147,0
3.101241827,7.47100544,0
3.122377634,6.696809769,0
3.140900135,6.714790344,0
3.161019564,7.485063553,0
3.181101799,7.621130943,0
3.200838089,6.933125973,0
3.220668078,6.671028614,0
3.24144721,7.484367371,0
3.260569811,7.537651539,0
3.281599283,6.937357903,0
3.301004887,6.652560711,0
3.327254295,7.191539288,0
3.341347218,7.651213169,0
3.360706806,7.526472092,0
3.381387949,6.592525482,0
3.400431156,7.205233574,0
3.421164036,7.538068295,0
3.440912008,6.677098274,0
3.460473538,6.599257469,0
3.480433703,7.185263634,0
3.500918388,7.677809238,0
3.521580219,7.5437994,0
3.541021586,6.684275627,0
3.561332464,6.880126476,0
3.580967903,7.514499187,0
3.601616383,7.556418419,0
3.621477842,7.291923046,0
3.640647411,6.615309715,0
3.67006731,7.53224659,0
3.68094945,7.762543678,0
3.700950861,6.914131641,0
3.720696926,6.866221905,0
3.740786553,7.731945038,0
3.761123419,7.582372189,0
3.780675173,6.654653072,0
3.801033259,6.861676693,0
3.820495129,7.761183739,0
3.841519117,6.913131714,0
3.861251831,6.552431583,0
3.881244898,6.882787228,0
3.901837349,7.492893219,0
3.926123858,7.587841511,0
3.940804958,6.949846268,0
3.961268902,6.631403446,0
3.981310606,7.46751976,0
4.001275301,7.715631008,0
4.021556378,7.013138294,0
4.042278767,6.592465401,0
4.061074019,7.443267822,0
4.080866099,7.603682518,0
4.100393295,6.713740826,0
4.120778084,6.59689045,0
4.141990185,7.130726337,0
4.16092515,7.73152113,0
4.181252003,7.046481133,0
4.201467514,6.568056583,0
4.220937491,6.763102531,0
4.241153956,7.654447556,0
4.261210442,7.436208725,0
4.28085804,6.764528751,0
4.301706076,6.747307777,0
4.321681023,7.340385914,0
4.341743469,7.675834179,0
4.3605268,7.145029068,0
4.381954432,6.571220875,0
4.401055575,7.31307888,0
4.420845986,7.742800713,0
4.44072032,7.171907425,0
4.46058178,6.534165859,0
4.48107791,7.318934917,0
4.501110554,7.683313847,0
4.521419764,6.822599888,0
4.540583849,6.607771873,0
4.560555697,7.294808865,0
4.580641747,7.754837036,0
4.600707054,7.491772652,0
4.621349096,6.60605669,0
4.641574383,6.927262783,0
4.66069603,7.573587418,0
4.680859804,7.564284801,0
4.700495958,6.625644684,0
4.720735073,6.616325378,0
4.741872072,7.556870461,0
4.761622667,7.600207329,0
4.780718804,6.929333687,0
4.801780224,6.597523689,0
4.820783854,7.208434105,0
4.841460943,7.751866341,0
4.860711575,6.968808174,0
4.881379604,6.564101219,0
4.901697874,7.142263889,0
4.921115399,7.70009613,0
4.941861153,7.320140362,0
4.961138249,6.560638428,0
4.980688334,7.147307873,0
5.001042366,7.676858425,0
5.02094388,7.350705624,0
5.041639805,6.561808109,0
5.061968327,6.784482956,0
5.081061363,7.667764187,0
5.101568222,7.671794415,0
5.124351025,6.731451988,0
5.142457247,6.756400585,0
5.161281824,7.678979397,0
5.180795431,7.680215359,0
5.201257467,6.757800579,0
5.221144915,6.743875504,0
5.241511822,7.621368885,0
5.260491371,7.444542408,0
5.281907559,7.109974384,0
5.300495148,6.549090862,0
5.321583748,7.348963737,0
5.340947867,7.475013256,0
5.361218929,6.544195652,0
5.381187439,7.325182438,0
5.402256251,7.776988983,0
5.420860529,7.507928371,0
5.440910578,6.616119385,0
5.460883856,6.887715816,0
5.480823755,7.762210846,0
5.502027035,7.254364967,0
5.520957232,6.52750349,0
5.541373015,7.194219589,0
5.561594248,7.532790661,0
5.582364082,7.732632637,0
5.601492882,6.921204567,0
5.621186257,6.663043976,0
5.640816212,6.88800621,0
5.660507679,7.700562477,0
5.681457043,7.295472145,0
5.701118231,6.582042217,0
5.721694231,6.851660728,0
5.741001845,7.680668831,0
5.760417462,6.984906673,0
